bike_id,start_time,start_time_clock,start_time_hour,start_date,start_month,start_year,start_wday,stop_time,start_station,start_lat,start_long,end_station,end_lat,end_long,type,birth_year,age,gender,use_period,use_duration_mins
26301,2018-02-27T00:11:03Z,19:11:03,19,2018-02-26,Feb,2018,Mon,2018-02-27T00:15:40Z,3186,40.71958611647166,-74.04311746358871,3203,40.727595966,-74.044247311,Subscriber,1986,32,Male,4M 37.0980000495911S,4.618300000826518
26301,2018-02-27T12:52:49Z,07:52:49,7,2018-02-27,Feb,2018,Tue,2018-02-27T12:58:13Z,3203,40.727595966,-74.044247311,3202,40.7272235,-74.0337589,Subscriber,1979,39,Male,5M 23.9240000247955S,5.398733333746592
26301,2018-02-27T17:03:27Z,12:03:27,12,2018-02-27,Feb,2018,Tue,2018-02-27T17:04:54Z,3202,40.7272235,-74.0337589,3638,40.7242941,-74.0354826,Subscriber,1963,55,Male,1M 26.5269999504089S,1.442116665840149
26301,2018-02-27T18:53:51Z,13:53:51,13,2018-02-27,Feb,2018,Tue,2018-02-27T19:21:04Z,3638,40.7242941,-74.0354826,3638,40.7242941,-74.0354826,Subscriber,1984,34,Male,27M 12.9449999332428S,27.21574999888738
26301,2018-02-27T19:30:42Z,14:30:42,14,2018-02-27,Feb,2018,Tue,2018-02-27T19:33:11Z,3638,40.7242941,-74.0354826,3187,40.7211236,-74.03805095,Subscriber,1980,38,Male,2M 28.5340001583099S,2.4755666693051657
26301,2018-02-27T21:31:04Z,16:31:04,16,2018-02-27,Feb,2018,Tue,2018-02-27T21:33:27Z,3187,40.7211236,-74.03805095,3638,40.7242941,-74.0354826,Subscriber,1980,38,Male,2M 23.9549999237061S,2.3992499987284344
26301,2018-02-27T22:37:12Z,17:37:12,17,2018-02-27,Feb,2018,Tue,2018-02-27T22:40:49Z,3638,40.7242941,-74.0354826,3639,40.7192517,-74.034234,Subscriber,1989,29,Male,3M 36.9920001029968S,3.616533335049947
26301,2018-02-27T22:49:10Z,17:49:10,17,2018-02-27,Feb,2018,Tue,2018-02-27T22:55:03Z,3639,40.7192517,-74.034234,3202,40.7272235,-74.0337589,Subscriber,1962,56,Male,5M 52.8989999294281S,5.881649998823802
26301,2018-02-27T23:21:57Z,18:21:57,18,2018-02-27,Feb,2018,Tue,2018-02-27T23:25:18Z,3202,40.7272235,-74.0337589,3638,40.7242941,-74.0354826,Subscriber,1992,26,Male,3M 20.2019999027252S,3.3366999983787538
26301,2018-02-28T03:08:55Z,22:08:55,22,2018-02-27,Feb,2018,Tue,2018-02-28T03:28:42Z,3638,40.7242941,-74.0354826,3281,40.74590996631558,-74.0572714805603,Subscriber,1981,37,Male,19M 47.1259999275208S,19.785433332125347
26301,2018-02-28T13:19:37Z,08:19:37,8,2018-02-28,Feb,2018,Wed,2018-02-28T13:25:54Z,3281,40.74590996631558,-74.0572714805603,3640,40.73367,-74.0625,Subscriber,1972,46,Male,6M 17.3860001564026S,6.2897666692733765
26301,2018-02-28T23:17:07Z,18:17:07,18,2018-02-28,Feb,2018,Wed,2018-02-28T23:25:44Z,3640,40.73367,-74.0625,3210,40.742677141,-74.051788633,Subscriber,1988,30,Male,8M 37.2860000133514S,8.621433333555858
26301,2018-03-01T15:27:57Z,10:27:57,10,2018-03-01,Mar,2018,Thu,2018-03-01T15:34:49Z,3210,40.742677141,-74.051788633,3640,40.73367,-74.0625,Subscriber,1986,32,Male,6M 51.9940001964569S,6.866566669940949
26301,2018-03-03T09:12:49Z,04:12:49,4,2018-03-03,Mar,2018,Sat,2018-03-03T09:21:03Z,3640,40.73367,-74.0625,3281,40.74590996631558,-74.0572714805603,Subscriber,1978,40,Male,8M 14.0260000228882S,8.233766667048137
